"","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK","team_season","season_year"
"19","1610612738","Boston Celtics","16","8","8","0.5","51","103.2","97.9","117.9","112.5","-14.7","-14.6","0.591","1.3","10.3","0.38","0.647","0.515","0.104","0.329","0.494","90.2","94.82","79.02","96","0.376","1","2","16","6","1","9","12","12","3","6","8","4","10","7","10","12","9","10","10","2007-08","2008"
"20","1610612738","Boston Celtics","2","0","2","0","3","75.8","50","206.2","200","-130.4","-150","0","0","0","0","0.25","0.2","0","0","0.379","49.2","56.73","47.28","2","-0.364","14","13","2","13","16","16","16","16","15","14","15","16","16","16","1","16","15","16","16","2014-15","2015"
"21","1610612738","Boston Celtics","3","1","2","0.333","19","64.2","66.7","105.8","94.7","-41.6","-28.1","0.556","0.83","10.4","0.333","0.714","0.511","0.167","0.313","0.33","89.8","93.05","77.54","36","-0.019","10","9","4","8","7","15","7","13","8","15","13","6","5","7","16","14","14","11","14","2004-05","2005"
"22","1610612738","Boston Celtics","3","2","1","0.667","18","89.1","87.5","73.1","73.7","16","13.8","0.455","0.83","10.4","0.143","0.783","0.477","0.15","0.45","0.496","105.4","106.01","88.34","40","0.558","9","6","2","3","9","12","2","4","10","11","10","14","3","9","13","7","9","2","4","2015-16","2016"
"23","1610612738","Boston Celtics","4","2","2","0.5","15","95.2","92.3","102.5","96.2","-7.2","-3.8","0.556","1","16.1","0","0.75","0.48","0.192","0.528","0.594","78.3","82.05","68.38","26","0.513","10","8","3","5","10","12","6","8","3","7","2","12","5","8","13","3","2","13","6","2012-13","2013"
"24","1610612738","Boston Celtics","4","2","2","0.5","23","112.6","119","108.2","111.4","4.4","7.7","0.611","2.75","17.7","0.385","0.545","0.458","0.095","0.477","0.527","95.5","91.57","76.31","42","0.525","8","8","5","8","5","6","8","6","2","5","3","5","13","12","7","11","12","13","8","2016-17","2017"
"25","1610612738","Boston Celtics","4","2","2","0.5","24","86.8","84.1","109.3","104.5","-22.5","-20.5","0.571","0.89","14.3","0.19","0.636","0.419","0.205","0.456","0.505","84.6","87.89","73.24","44","0.484","8","7","3","6","6","15","8","11","4","11","2","15","12","16","15","6","8","15","7","2010-11","2011"
"26","1610612738","Boston Celtics","4","3","1","0.75","8","153.2","156.3","87.4","83.3","65.8","72.9","0.6","0","25","0.286","1","0.615","0","0.719","0.722","85.4","86.17","71.81","16","0.829","7","5","2","2","11","1","1","1","7","15","1","10","1","1","1","2","2","14","2","2018-19","2019"
"27","1610612738","Boston Celtics","5","1","4","0.2","31","80.6","79.7","97.9","101.5","-17.2","-21.9","0.467","1","9","0.214","0.531","0.351","0.109","0.346","0.416","99.9","98.61","82.17","64","0.291","6","10","12","15","6","16","11","14","12","9","12","12","14","16","9","14","15","8","15","2002-03","2003"
"28","1610612738","Boston Celtics","8","5","3","0.625","39","124.7","117.4","111.4","107.4","13.3","10","0.621","2.57","15.5","0.351","0.7","0.532","0.081","0.516","0.601","97","101.86","84.88","86","0.608","2","2","10","4","2","4","6","5","4","3","5","10","6","7","6","6","7","6","5","2017-18","2018"
"29","1610612738","Boston Celtics","9","5","4","0.556","33","121.9","121.7","99.7","98.5","22.2","23.2","0.583","1.75","14","0.514","0.676","0.597","0.116","0.464","0.568","99.8","100.42","83.69","69","0.757","4","4","12","5","4","3","6","3","5","3","3","1","10","4","6","6","6","7","4","2001-02","2002"
"30","1610612739","Cleveland Cavaliers","10","6","4","0.6","45","112","107.9","108.8","105.5","3.2","2.4","0.407","0.79","9.9","0.342","0.582","0.484","0.157","0.483","0.602","92.2","95.43","79.53","89","0.541","4","3","10","2","4","11","7","6","12","11","12","7","13","10","10","8","4","6","5","2005-06","2006"
"31","1610612739","Cleveland Cavaliers","10","7","3","0.7","41","109.2","111.1","95.7","98.6","13.5","12.5","0.444","1.71","10.8","0.391","0.62","0.51","0.086","0.464","0.527","89.5","87.49","72.91","81","0.623","1","1","10","3","1","8","2","4","13","6","13","7","9","9","8","9","8","15","4","2017-18","2018"
"32","1610612739","Cleveland Cavaliers","13","8","5","0.615","48","95.2","92.6","93.6","91.5","1.6","1.1","0.583","1.17","11.5","0.25","0.698","0.468","0.126","0.377","0.476","92.8","95.24","79.37","95","0.539","1","1","15","4","2","13","4","8","8","10","10","11","6","10","11","12","12","10","6","2014-15","2015"
"33","1610612739","Cleveland Cavaliers","13","9","4","0.692","59","124.2","115.7","86.9","85.3","37.3","30.4","0.489","2","13.8","0.365","0.629","0.509","0.091","0.532","0.6","89.2","93.32","77.77","121","0.819","1","1","13","3","1","5","2","3","8","2","5","8","9","9","5","4","5","13","2","2006-07","2007"
"34","1610612739","Cleveland Cavaliers","5","3","2","0.6","14","116.7","117.9","88.2","92.6","28.5","25.3","0.4","1","10.5","0.412","0.55","0.486","0.143","0.5","0.564","100.3","97.44","81.2","28","0.679","5","4","4","5","7","3","5","4","12","8","10","4","14","7","12","6","5","15","5","2009-10","2010"
"35","1610612739","Cleveland Cavaliers","6","3","3","0.5","24","131","141.3","130.1","123.9","0.9","17.4","0.524","1.38","16.2","0.65","0.846","0.727","0.174","0.634","0.683","94.2","92.76","77.3","46","0.537","5","4","10","6","6","2","12","5","6","5","3","2","2","1","13","4","4","8","9","2008-09","2009"
"36","1610612739","Cleveland Cavaliers","7","5","2","0.714","27","99.2","94.5","97.9","95.7","1.3","-1.1","0.571","1.14","10.7","0.343","0.75","0.508","0.127","0.386","0.469","87.5","90.71","75.59","55","0.504","1","1","5","4","2","13","3","9","4","8","11","8","2","6","8","14","14","15","9","2016-17","2017"
