"","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","PTS","PLUS_MINUS","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","FGM_RANK","FGA_RANK","FG_PCT_RANK","FG3M_RANK","FG3A_RANK","FG3_PCT_RANK","FTM_RANK","FTA_RANK","FT_PCT_RANK","OREB_RANK","DREB_RANK","REB_RANK","AST_RANK","TOV_RANK","STL_RANK","BLK_RANK","BLKA_RANK","PF_RANK","PFD_RANK","PTS_RANK","PLUS_MINUS_RANK","team_season"
"18","1610612738","Boston Celtics","14","7","7","0.5","64.6683333333333","48","97","0.495","11","24","0.458","22","27","0.815","8","37","45","23","16","8","10","4","40","25","129","5","1","2","16","6","1","1","1","3","1","1","3","4","5","6","5","1","2","1","16","2","1","12","16","3","1","5","2011-12"
"19","1610612738","Boston Celtics","16","8","8","0.5","50.62","22","70","0.314","2","18","0.111","48","57","0.842","14","30","44","13","10","6","3","4","39","35","94","-23","1","2","16","6","1","3","2","11","7","2","11","1","1","6","1","2","2","1","16","2","4","13","16","2","2","16","2007-08"
"20","1610612738","Boston Celtics","2","0","2","0","2.53833333333333","0","0","0","0","0","0","1","3","0.333","0","1","1","0","0","0","0","0","2","1","1","-7","14","13","2","13","16","16","16","16","15","16","15","16","15","16","14","16","16","15","1","14","12","1","1","16","16","12","2014-15"
"21","1610612738","Boston Celtics","3","1","2","0.333","19.0866666666667","9","32","0.281","2","11","0.182","4","10","0.4","5","13","18","5","6","2","0","2","12","0","24","-12","10","9","4","8","7","11","7","14","9","7","10","10","10","13","7","8","7","10","12","8","11","7","9","1","11","15","2004-05"
"22","1610612738","Boston Celtics","3","2","1","0.667","17.6583333333333","11","30","0.367","5","14","0.357","8","12","0.667","2","17","19","5","6","4","4","3","11","8","35","7","9","6","2","3","9","8","9","8","3","4","6","8","6","11","9","7","8","7","9","5","4","8","10","9","9","4","2015-16"
"23","1610612738","Boston Celtics","4","2","2","0.5","15.21","9","18","0.5","1","5","0.2","5","5","1","0","11","11","5","5","0","0","0","6","5","24","-1","10","8","3","5","10","10","12","3","10","12","7","12","12","1","12","9","11","8","6","11","9","1","3","11","12","6","2012-13"
"24","1610612738","Boston Celtics","4","2","2","0.5","22.54","18","43","0.419","5","18","0.278","9","10","0.9","7","11","18","11","4","4","2","6","9","12","50","1","8","8","5","8","5","3","3","10","7","4","11","8","9","3","3","5","4","2","9","4","4","16","9","6","6","8","2016-17"
"25","1610612738","Boston Celtics","4","2","2","0.5","24.03","14","34","0.412","3","9","0.333","6","6","1","3","14","17","8","9","5","1","1","6","9","37","-9","8","7","3","6","6","7","7","5","6","9","3","12","15","1","11","7","7","6","13","4","10","2","1","9","8","11","2010-11"
"26","1610612738","Boston Celtics","4","3","1","0.75","7.79833333333333","10","16","0.625","3","7","0.429","2","3","0.667","1","5","6","6","0","1","1","0","2","3","25","15","7","5","2","2","11","8","9","2","8","9","6","10","10","12","10","10","10","8","1","12","8","1","1","10","8","2","2018-19"
"27","1610612738","Boston Celtics","5","1","4","0.2","31.3966666666667","15","52","0.288","6","20","0.3","15","21","0.714","5","16","21","7","7","12","4","6","19","0","51","-15","6","10","12","15","6","7","5","15","3","3","8","8","7","13","8","6","7","8","11","1","5","14","10","1","8","16","2002-03"
